cgpa,coding_score,dsa_score,projects_count,project_complexity,internships,communication_score,mock_interview_score,resume_score,certifications,aptitude_score,technical_score,skill_match_score,ats_score,github_score,backlogs,college_tier,placement_ready
7.37,48,33,1,Low,0,88,39,29,0,30,27,25,26,30,1,3,0
5.84,42,36,1,Low,0,55,20,20,0,44,49,45,16,26,0,2,0
9.09,63,71,1,Low,1,88,51,69,3,66,46,76,68,62,0,1,1
5.72,43,40,0,Low,1,60,33,41,1,47,37,23,15,51,2,3,0
6.76,51,35,5,High,0,73,49,59,2,60,47,53,69,30,0,2,1
7.4,41,26,0,Low,2,63,66,57,2,59,27,32,39,20,0,2,1
7.31,45,33,3,Low,1,69,37,73,4,39,34,15,37,37,3,3,0
6.5,33,52,4,Low,1,43,15,72,2,35,42,15,42,41,2,2,0
5.0,51,37,3,Low,1,83,46,57,1,43,52,34,49,41,1,2,0
8.7,36,29,1,Medium,3,55,48,83,1,70,57,41,67,12,0,2,1
5.69,57,37,3,Low,0,78,48,46,0,45,59,58,42,21,0,3,0
5.94,62,64,2,Low,0,35,48,61,0,25,48,20,27,14,0,3,0
9.08,60,76,2,Medium,1,48,45,56,0,47,53,54,37,39,2,2,1
6.67,20,25,1,Low,1,68,34,52,1,56,34,21,40,24,0,2,1
7.53,50,41,2,Medium,1,59,61,48,0,48,36,35,49,44,0,3,1
6.56,48,39,3,Medium,0,70,33,67,2,49,31,42,62,51,1,2,0
6.96,39,10,3,Medium,1,65,27,61,1,62,34,56,53,53,3,2,1
7.64,49,50,3,Low,1,94,41,52,2,38,36,39,52,1,2,2,0
7.7,74,58,1,Low,1,71,60,48,4,48,48,28,56,52,3,2,1
8.81,70,60,5,Medium,0,54,49,69,1,52,60,48,65,50,0,2,1
5.51,31,16,3,Low,1,54,42,57,3,46,36,40,54,17,0,3,0
8.12,39,26,2,Low,1,83,44,57,2,64,47,47,39,6,0,2,1
9.15,60,40,2,Low,1,34,36,78,4,42,51,54,69,64,0,2,1
8.74,59,61,5,Medium,2,72,54,95,4,58,66,40,69,23,3,2,1
6.36,54,37,3,Medium,1,41,59,63,4,57,48,20,49,0,0,2,0
7.27,47,69,4,High,0,81,34,78,2,29,49,47,70,28,0,1,0
6.72,56,50,3,High,1,54,32,74,3,47,53,25,53,28,0,1,1
8.07,81,42,5,High,2,71,59,96,2,40,71,69,72,85,3,2,1
9.92,79,58,2,Low,2,62,79,30,0,56,80,70,30,57,0,2,1
8.46,60,37,7,High,1,37,27,91,2,27,50,36,58,29,0,2,0
5.59,41,10,4,High,0,73,43,72,2,59,44,32,52,20,1,3,0
7.85,52,65,1,Low,1,49,29,80,4,49,46,42,60,27,1,2,1
7.58,69,63,1,Low,1,76,60,38,3,43,46,37,37,85,0,3,1
5.0,32,35,2,Low,3,43,15,80,0,43,27,15,59,32,3,2,0
5.0,40,35,2,High,1,66,28,73,1,27,43,33,60,0,2,2,0
7.72,56,23,3,Low,1,62,61,39,2,39,33,38,35,28,0,3,0
7.77,50,32,3,High,1,51,40,73,3,71,70,66,52,29,1,1,1
5.95,29,37,2,Medium,1,86,33,69,3,66,37,15,47,0,0,1,0
10.0,73,40,3,Low,2,62,52,68,2,57,92,77,84,8,0,1,1
5.63,43,10,3,High,1,54,37,54,1,55,34,15,39,37,2,2,0
6.18,53,38,2,Medium,3,67,53,78,1,50,49,20,47,15,0,2,0
8.37,53,39,4,High,1,35,15,62,2,39,38,33,51,56,0,3,0
9.28,80,63,2,Medium,0,100,54,51,3,50,50,37,47,48,0,2,1
6.74,39,43,6,High,1,42,21,87,1,67,57,17,59,13,1,2,1
5.16,61,57,8,High,0,71,58,100,1,23,29,67,88,0,1,3,0
7.52,34,32,2,High,0,63,37,48,0,79,37,22,39,44,2,2,1
5.25,46,55,5,Medium,1,83,65,77,2,34,45,71,78,33,3,3,0
8.23,65,27,2,High,1,65,60,63,5,75,68,36,49,30,0,3,1
7.85,47,45,5,Medium,1,50,34,59,1,50,26,15,54,10,0,2,1
7.06,57,54,3,Medium,0,28,35,69,2,59,58,64,70,66,3,1,1
5.73,59,27,2,Low,1,29,52,52,1,60,54,33,50,14,0,3,0
8.98,37,10,3,High,1,57,54,73,1,76,35,32,58,14,2,2,1
7.44,60,35,1,Low,2,86,53,52,1,45,39,20,60,47,0,2,0
7.88,27,13,3,Low,1,31,15,56,2,44,20,21,50,45,1,2,0
7.01,40,44,0,Medium,1,95,24,51,2,49,60,18,27,19,1,2,1
8.65,81,52,1,Medium,0,81,36,39,1,42,70,57,44,33,1,3,1
8.69,55,30,2,High,2,37,43,43,0,61,35,30,32,30,3,1,0
6.05,32,18,2,Low,1,42,35,71,0,35,41,33,71,37,0,2,0
8.79,60,63,0,Medium,2,44,34,54,4,71,49,53,60,58,1,2,1
8.11,83,63,0,Low,0,67,73,53,3,48,71,63,70,22,0,2,1
7.32,31,24,3,High,1,60,32,78,3,30,23,31,45,20,1,2,0
7.54,42,32,3,Medium,1,60,32,48,2,69,42,32,49,0,0,3,0
7.62,73,75,1,Medium,0,52,63,27,1,55,54,43,17,61,0,3,1
7.74,78,48,3,Medium,1,65,68,64,3,54,52,58,38,55,0,2,1
9.71,67,71,5,Medium,3,77,54,81,2,76,78,53,57,21,1,3,1
7.99,43,38,4,Medium,1,59,46,90,2,65,56,37,76,56,2,1,1
6.89,76,55,0,Low,3,50,58,63,3,40,56,58,43,52,0,2,1
5.41,61,85,1,Low,0,79,79,54,2,36,58,31,41,41,0,2,1
8.36,68,36,3,High,1,58,48,62,0,43,32,63,66,37,0,3,0
5.53,33,22,3,Low,1,71,25,71,3,25,20,20,54,19,1,2,0
6.44,48,20,2,High,1,60,49,62,3,54,50,41,70,21,0,3,0
8.27,57,59,7,High,3,81,52,100,2,61,60,45,68,19,0,2,1
8.14,62,73,1,Medium,0,84,56,42,4,64,58,56,38,61,0,3,1
8.85,80,86,4,High,2,83,61,90,0,74,44,55,55,38,0,2,1
6.34,58,63,2,Medium,1,52,24,42,2,55,37,38,33,24,3,3,1
8.95,50,37,3,Medium,0,51,43,65,2,70,55,63,45,27,0,3,1
8.57,77,53,1,Low,2,77,54,43,2,32,82,15,15,74,3,3,1
8.41,64,24,6,High,1,60,44,82,3,53,67,69,86,61,0,3,1
7.49,63,79,5,Medium,2,61,43,77,0,64,74,66,63,29,2,3,1
7.74,74,63,2,Low,1,49,48,44,0,39,57,24,60,68,1,2,1
6.57,36,22,4,Medium,2,87,48,67,0,48,41,45,43,23,0,2,0
5.0,39,52,0,Low,1,80,44,29,2,46,25,43,28,6,1,2,0
6.63,43,20,3,High,0,59,53,40,1,53,53,46,31,16,1,1,1
7.38,35,35,2,Medium,1,50,43,59,1,56,38,15,32,48,1,3,1
6.08,50,37,4,High,0,49,38,62,2,52,53,51,60,71,2,2,0
8.35,90,77,2,Medium,1,64,47,61,5,58,67,76,63,60,1,2,1
6.25,25,21,3,Medium,0,68,42,79,4,28,29,15,57,3,0,2,0
5.16,40,11,6,High,0,46,31,63,3,46,37,38,61,21,2,2,0
5.34,49,40,2,Low,0,39,34,41,1,45,45,32,46,14,0,1,0
5.72,45,52,3,Medium,1,63,26,53,1,26,47,50,36,14,1,2,0
6.75,49,38,2,Low,1,77,52,61,1,65,33,29,38,15,0,1,1
6.61,34,40,5,Low,1,63,68,80,3,54,20,15,50,18,2,2,1
7.45,57,29,3,Medium,0,57,38,50,1,35,49,41,79,36,1,1,0
8.64,52,41,3,High,1,41,45,33,0,48,62,24,36,28,0,3,1
5.68,20,10,4,High,1,50,42,92,5,36,46,24,59,7,0,3,0
8.66,76,69,3,Low,1,77,52,57,1,51,43,53,56,60,1,2,1
7.05,63,49,8,High,2,39,15,100,2,53,47,57,66,33,1,2,1
6.62,50,50,4,High,1,93,61,57,1,36,23,35,46,26,3,1,1
5.67,46,53,1,Low,1,63,43,33,0,56,38,15,35,24,1,3,0
5.0,52,51,3,High,0,33,39,65,0,52,60,64,56,62,0,3,1
7.33,56,48,0,Medium,0,71,49,20,0,59,50,63,26,23,0,3,1
6.34,58,30,2,High,2,70,63,53,2,47,43,42,43,46,2,3,0
7.15,49,39,2,High,2,54,39,83,2,61,54,29,52,14,0,3,1
9.03,79,52,1,Medium,0,78,86,51,2,56,51,43,29,54,0,3,1
8.81,66,46,3,Low,1,50,54,60,2,50,72,49,43,50,0,3,1
5.4,44,30,3,Medium,1,73,56,74,1,56,43,39,39,48,1,3,0
7.42,39,17,3,Low,1,61,38,73,3,55,36,26,36,15,3,3,1
6.97,55,14,0,Low,2,56,47,56,2,41,51,29,30,10,0,2,0
7.57,45,26,3,Medium,0,86,28,66,4,47,52,53,63,11,3,3,0
5.57,35,32,5,Medium,1,79,35,85,3,34,51,38,73,40,0,3,0
7.29,43,14,2,Low,0,42,47,52,1,75,46,20,21,67,2,2,0
8.84,50,40,1,Low,1,68,44,74,1,59,60,47,71,46,0,2,1
6.06,71,83,2,Low,0,96,48,47,2,47,55,52,32,17,3,3,1
8.43,76,73,3,Medium,2,86,52,74,3,65,55,41,61,61,0,2,1
6.11,69,77,5,High,1,45,37,65,3,30,39,62,58,22,0,3,0
6.17,32,33,1,Medium,2,90,44,59,2,59,25,27,48,12,1,1,1
7.31,54,60,0,Low,0,78,39,52,0,44,36,34,29,36,0,3,1
8.69,46,26,2,High,0,43,53,57,1,80,65,41,27,34,0,2,1
6.87,42,24,4,Medium,0,65,43,59,3,45,47,42,39,26,0,2,0
6.77,39,10,1,Medium,1,70,24,60,4,61,27,27,47,11,0,3,1
5.65,58,63,5,Medium,2,42,59,68,2,20,20,32,68,55,1,2,0
9.26,60,70,2,High,1,74,50,54,4,47,35,55,38,25,0,3,1
7.37,67,43,1,Medium,0,100,67,49,3,48,43,23,35,65,0,2,1
8.02,65,46,2,High,0,86,60,40,1,30,42,24,24,11,0,3,1
6.61,77,47,5,Medium,0,64,60,55,2,55,74,69,53,50,1,2,1
6.68,32,33,0,Low,2,56,30,63,3,52,30,63,36,0,1,1,1
5.85,60,63,4,Medium,1,67,53,69,2,32,64,61,72,19,1,3,1
8.54,74,30,3,High,1,44,46,45,2,57,38,73,49,34,0,2,0
7.82,45,42,1,Low,1,53,43,27,2,63,42,29,36,57,1,3,1
6.71,62,44,2,Low,0,26,35,39,1,23,52,35,32,63,3,3,1
8.2,63,50,4,High,0,69,47,46,3,40,58,54,46,55,0,1,1
8.31,57,51,4,Medium,2,55,26,63,4,52,45,55,64,34,0,2,1
7.31,43,32,1,Low,1,73,44,61,1,51,53,18,42,29,1,1,1
8.74,53,40,3,Low,1,64,48,58,1,57,58,40,47,57,1,2,1
5.71,68,49,5,High,0,43,67,60,1,54,47,45,40,54,0,2,0
8.72,62,62,1,Medium,0,65,55,41,2,64,58,37,31,37,0,3,1
8.82,72,61,3,High,0,49,39,46,3,67,69,46,31,72,0,3,1
6.81,41,37,2,Low,0,91,36,54,2,32,27,42,37,40,0,2,0
7.33,44,16,2,Low,0,46,39,56,4,53,63,48,59,31,0,2,1
7.43,67,46,1,Low,1,53,38,42,2,48,42,56,60,31,0,3,1
6.39,32,40,2,Low,0,43,23,38,1,64,41,35,22,8,0,2,0
5.77,39,32,3,Medium,0,42,24,49,4,45,23,15,37,16,1,3,0
7.81,57,54,5,Medium,2,62,42,75,1,46,48,48,53,43,2,2,1
5.73,45,62,5,Medium,1,39,43,73,2,53,30,17,60,43,0,3,0
6.48,46,52,2,High,3,58,16,80,5,54,40,30,55,0,0,3,0
6.16,51,42,3,Medium,0,69,61,48,0,35,21,16,33,0,0,2,0
5.93,53,34,0,Low,1,54,39,45,2,40,53,32,29,12,1,3,0
7.94,66,12,4,High,0,25,31,64,2,50,57,49,36,31,2,3,1
6.75,38,29,2,Medium,1,86,56,65,1,63,55,29,53,46,0,3,1
7.61,52,36,6,Medium,0,66,43,89,4,55,43,25,60,25,0,2,1
7.66,70,59,2,Medium,0,67,40,81,7,62,72,71,70,47,1,2,1
5.59,54,40,4,High,3,57,25,87,5,37,43,37,53,40,3,2,0
6.73,33,23,4,High,1,76,49,63,2,52,38,21,41,0,0,2,1
8.53,65,23,2,Low,2,78,63,81,4,73,84,39,65,68,3,2,1
8.05,34,14,4,High,0,80,37,74,3,50,31,15,56,7,3,3,1
6.12,47,45,1,Medium,0,66,59,35,2,46,57,37,21,59,3,1,1
8.69,84,89,1,High,1,37,50,59,2,42,65,37,39,47,1,2,1
6.14,35,28,3,Low,1,69,55,48,1,36,26,37,26,14,1,1,0
7.51,45,41,4,Medium,1,66,31,75,2,48,26,31,53,4,0,1,0
7.91,66,65,2,Medium,2,52,34,77,5,41,37,65,71,43,2,2,1
5.71,25,10,2,Medium,0,47,22,25,0,59,48,32,24,60,0,3,0
9.15,57,50,4,Medium,1,71,44,56,0,50,69,37,37,42,3,3,1
7.11,59,35,2,Low,0,60,60,80,3,59,53,16,46,40,0,2,1
8.23,51,53,1,Low,0,54,45,46,2,58,49,52,66,17,1,2,1
5.24,38,33,3,Medium,1,92,38,91,2,41,45,15,66,34,0,3,0
8.99,72,59,0,Low,1,74,56,36,4,77,64,46,44,46,1,1,1
7.57,60,35,1,Low,0,69,44,53,2,25,55,70,55,34,0,1,1
6.56,52,52,3,Low,0,83,41,21,1,45,47,49,30,41,0,2,1
5.01,35,60,3,High,1,67,38,71,4,27,32,34,41,0,0,2,0
8.41,64,34,2,High,1,49,43,57,0,33,38,56,39,36,3,3,0
6.89,49,34,0,Medium,0,54,31,52,3,35,28,46,39,5,3,3,0
9.13,70,57,4,Medium,0,75,46,48,1,60,20,62,38,42,0,2,1
8.53,55,55,1,Medium,0,73,58,60,3,48,61,36,39,18,1,2,1
8.79,60,38,3,Low,3,70,55,73,2,69,53,39,52,22,0,2,1
5.8,32,10,1,Medium,3,41,41,66,2,41,28,15,42,0,0,2,0
8.02,57,65,3,Low,1,76,47,58,2,51,25,34,37,56,1,3,1
5.64,34,40,4,High,3,60,23,72,2,39,26,24,53,6,0,2,0
7.09,39,10,2,Medium,1,72,35,68,0,49,29,15,41,10,3,2,0
9.93,72,46,2,High,0,47,60,50,2,59,49,38,43,73,0,2,1
6.3,50,63,0,Low,0,97,34,51,2,36,44,59,40,41,1,2,0
6.67,59,68,3,High,2,66,65,84,2,60,53,48,68,0,0,3,1
8.29,54,56,2,Medium,1,54,29,38,0,48,30,46,32,60,3,2,1
7.64,60,44,3,Medium,2,73,60,86,2,48,33,37,75,68,1,3,1
7.4,61,48,2,Medium,2,77,40,76,3,57,37,15,45,67,3,3,1
7.6,60,45,6,High,1,73,43,69,2,56,73,48,52,49,1,3,1
8.91,53,59,3,Medium,0,44,15,57,1,48,63,60,57,9,0,3,1
8.27,61,34,1,Low,0,82,76,23,0,65,44,24,31,35,2,3,0
10.0,74,44,2,Low,0,55,57,61,0,71,39,57,61,15,0,2,1
9.69,68,67,3,Medium,0,61,58,61,1,65,60,24,60,23,3,3,1
7.46,29,24,5,High,1,25,18,75,2,47,34,27,57,0,0,3,0
5.85,47,58,4,Medium,0,53,28,73,1,39,44,45,54,15,3,1,0
8.31,86,55,1,Low,0,53,64,20,0,54,73,56,26,54,0,3,1
8.71,57,44,0,Low,1,70,34,33,1,43,51,80,44,25,0,2,1
8.83,54,28,7,High,0,52,40,80,3,58,36,30,68,22,0,3,1
7.39,58,45,4,High,1,32,22,88,0,62,56,36,45,28,0,2,1
8.07,62,26,1,Low,1,66,51,35,1,65,65,52,29,67,3,3,1
8.17,73,48,1,Medium,1,57,28,27,1,51,48,37,27,87,0,1,1
9.1,49,17,5,High,3,48,21,74,2,73,54,19,39,20,0,2,0
5.78,53,52,7,High,0,63,34,90,2,66,44,22,52,38,0,1,1
7.97,64,60,2,Medium,0,29,46,38,1,51,76,64,61,21,1,2,1
7.86,55,17,4,High,2,73,42,72,1,62,35,32,47,48,0,3,1
5.69,48,58,2,Medium,1,58,53,67,2,20,48,64,61,19,1,1,0
6.81,63,86,1,Low,2,57,65,58,2,33,26,31,26,23,1,2,1
8.32,70,54,5,High,0,79,52,62,0,57,78,67,45,82,0,3,1
6.07,32,17,6,High,2,52,15,100,3,33,20,31,73,0,1,1,0
5.93,55,85,1,Low,2,66,58,58,3,69,55,36,61,0,0,1,1
6.34,47,18,2,High,1,59,23,60,3,53,24,17,42,42,1,1,1
8.88,64,50,0,High,0,100,49,36,1,70,41,16,24,31,2,3,1
6.43,49,41,2,Medium,2,70,25,72,1,46,54,49,60,16,0,3,0
7.52,53,62,4,Medium,2,41,50,64,1,40,55,60,29,86,1,3,1
5.55,57,50,2,Medium,2,93,62,33,3,36,47,18,29,48,2,3,0
8.58,60,39,2,Medium,0,80,72,50,0,60,61,41,31,34,3,3,1
9.85,55,29,1,Medium,2,62,40,67,1,56,61,35,56,18,0,3,1
8.56,56,39,3,Medium,0,54,33,58,2,65,44,48,26,42,0,2,1
8.78,64,34,2,Medium,0,38,35,61,4,67,40,37,40,3,3,2,0
5.78,59,47,2,Low,1,69,33,59,4,43,47,62,52,25,0,2,1
5.98,53,33,1,Medium,0,49,58,42,0,22,31,29,27,31,1,1,0
9.3,55,21,4,Medium,1,46,81,100,8,82,61,26,59,37,0,3,1
7.01,81,80,4,Low,1,75,51,62,0,47,66,50,60,45,0,1,1
8.37,63,41,3,Medium,0,89,64,77,0,89,55,41,55,23,1,3,1
8.58,76,39,2,High,1,53,49,31,0,65,70,64,30,64,0,2,1
6.88,49,36,6,High,2,76,52,83,0,46,51,34,66,0,0,1,0
8.18,65,51,2,Low,0,65,63,27,0,61,64,56,37,33,3,2,1
8.56,71,28,3,High,1,68,40,82,4,33,45,35,59,32,3,2,0
7.23,67,56,2,Medium,0,47,40,27,1,63,66,47,23,60,0,3,1
8.89,76,42,5,High,1,58,67,59,2,90,76,46,22,36,0,3,1
7.13,63,74,2,Low,0,42,48,42,2,25,51,32,26,46,1,2,0
6.37,44,43,2,Medium,1,39,38,57,1,43,60,59,41,33,0,1,1
6.44,41,27,5,High,0,71,48,64,3,45,42,23,37,0,2,2,0
7.83,60,35,2,Medium,3,52,51,62,1,64,46,37,38,34,0,1,1
6.46,59,44,2,Medium,1,45,55,47,0,72,42,56,46,0,0,3,1
7.9,54,51,6,Medium,1,40,47,83,3,59,63,56,72,39,3,2,1
9.03,76,57,0,Medium,1,34,44,71,4,85,72,81,75,30,1,3,1
5.73,61,44,4,Medium,1,26,41,74,1,45,69,57,67,60,3,3,1
8.23,48,39,0,Medium,1,63,42,42,2,61,22,21,23,25,2,2,1
6.06,36,21,3,Medium,1,25,17,89,2,49,48,64,69,6,0,3,0
8.26,57,39,2,Medium,1,70,48,63,2,70,51,51,67,58,1,3,1
6.28,51,10,3,High,0,70,45,36,0,41,38,34,17,13,0,2,0
6.85,44,50,4,High,0,60,20,65,2,59,35,33,60,44,2,3,1
8.52,77,63,2,High,1,63,63,56,0,42,66,58,40,55,0,3,1
9.0,69,41,8,High,2,56,60,93,2,56,63,47,68,34,1,2,1
8.32,60,75,0,Low,0,66,55,33,4,48,35,18,31,9,2,2,1
5.49,25,23,6,High,0,65,45,71,1,43,32,49,57,39,3,2,0
7.53,39,16,3,High,0,85,43,47,1,48,47,34,60,33,0,3,0
6.99,55,56,1,Low,3,89,47,81,1,63,53,45,55,17,3,2,1
8.18,33,34,1,Low,2,89,56,68,2,45,48,63,41,24,1,1,0
5.77,56,50,2,Low,1,47,28,54,3,23,36,27,43,53,0,1,0
7.75,54,36,3,Medium,2,75,35,73,1,37,20,42,52,34,0,2,0
7.85,96,78,5,Low,1,71,70,95,3,66,75,54,74,62,0,1,1
7.69,83,59,0,Low,3,50,58,53,4,41,60,61,58,70,0,2,1
7.39,52,49,1,Low,0,46,50,27,1,56,51,44,31,61,0,2,1
6.86,49,10,2,High,0,55,20,49,2,45,56,53,49,27,2,3,1
8.18,71,48,3,High,1,42,44,68,3,65,36,62,59,15,0,3,1
7.89,77,84,2,Medium,1,36,33,61,3,51,55,43,66,20,1,2,1
5.1,20,10,4,Medium,1,70,44,58,0,73,25,41,42,0,1,3,0
9.58,46,28,3,Medium,0,62,58,52,2,85,39,57,41,8,3,2,0
8.41,52,34,2,Low,1,62,50,66,3,53,46,35,57,0,0,3,1
6.94,58,27,2,High,0,78,44,71,4,44,55,44,44,71,1,2,1
7.81,62,15,3,Medium,0,58,38,50,2,91,66,42,46,47,0,1,1
8.57,74,53,2,Medium,2,76,52,91,1,44,46,43,61,33,0,2,1
9.16,50,42,1,Medium,2,48,29,87,3,60,46,20,53,29,0,2,1
5.0,20,18,3,Medium,3,48,25,95,2,40,38,36,87,0,0,3,0
6.36,58,43,7,High,1,62,37,91,1,46,55,15,67,57,3,2,1
9.12,54,43,3,Medium,1,100,40,96,4,39,37,27,71,0,1,1,1
8.75,38,46,2,Medium,1,85,50,66,5,64,35,30,52,33,0,3,1
5.86,46,34,5,High,0,81,53,58,2,32,20,48,41,0,2,3,0
6.02,55,34,1,Low,0,37,58,33,1,62,45,32,33,24,0,2,0
8.76,61,43,1,Low,0,64,43,35,3,41,26,43,41,61,2,1,1
8.07,52,50,1,Medium,2,76,25,65,3,56,72,46,53,0,0,3,1
5.5,41,54,4,Medium,0,99,60,65,2,20,21,41,50,21,0,1,0
6.5,44,26,2,High,2,31,43,72,3,21,46,42,49,38,0,3,0
6.52,32,28,3,Low,1,75,54,55,0,37,53,46,49,28,0,3,0
6.6,41,38,3,Medium,1,81,63,73,4,39,39,24,43,26,1,2,0
6.75,56,29,2,Low,0,70,66,66,1,66,51,27,53,43,2,3,1
7.5,58,45,0,Low,0,37,27,37,0,52,33,43,16,22,1,1,1
6.74,52,19,1,Medium,3,66,64,79,2,64,44,31,67,69,0,3,1
6.82,38,10,2,Low,0,69,36,52,2,44,56,37,28,0,0,3,1
5.82,42,39,2,Medium,0,65,50,22,0,51,45,40,17,48,0,3,0
7.44,28,18,0,Low,0,49,34,20,3,43,32,44,32,20,1,3,0
6.87,53,45,0,Low,0,47,28,70,4,39,58,55,61,44,1,3,1
7.71,73,55,3,Medium,0,70,69,49,2,31,59,41,62,59,3,3,1
6.37,30,11,1,Low,1,49,26,36,0,50,33,15,30,29,0,2,0
7.82,49,38,6,High,1,50,61,84,2,57,49,64,65,13,2,3,1
7.41,58,27,3,High,1,59,36,74,3,61,43,17,49,29,0,3,1
7.13,67,72,0,Low,0,64,38,46,2,53,47,39,55,11,0,3,1
7.78,51,20,3,Medium,2,80,41,93,2,78,51,50,90,24,0,3,1
6.66,41,30,1,Medium,2,40,51,82,3,50,47,60,62,31,0,2,1
9.11,41,18,3,High,0,38,15,46,2,72,32,28,41,36,3,2,0
7.17,54,51,2,Medium,1,55,54,65,1,46,46,40,48,40,1,3,1
9.13,89,62,2,Low,0,29,71,41,1,49,59,45,38,18,3,3,1
8.21,62,40,1,Low,2,72,49,62,3,64,44,44,67,25,1,2,1
10.0,69,66,5,High,1,26,35,58,1,63,53,31,34,28,1,1,1
9.54,71,55,2,Medium,2,74,56,53,4,72,34,32,17,16,1,2,1
5.85,44,43,0,Low,0,81,33,33,1,48,32,43,37,9,0,3,0
9.02,54,28,3,Medium,1,66,78,56,3,50,33,29,53,32,1,3,1
8.79,72,34,2,High,0,28,50,61,2,71,58,64,56,71,0,2,1
5.44,45,38,4,High,1,63,27,70,3,31,20,26,52,7,1,1,0
7.5,55,38,2,Medium,1,47,31,57,1,60,52,22,47,10,2,3,0
7.82,45,45,4,Low,0,40,37,74,1,69,59,58,60,15,0,3,1
6.72,65,49,5,High,1,72,37,66,4,43,48,25,51,45,0,2,1
7.54,63,52,1,Medium,1,75,34,39,1,66,62,39,41,62,1,3,1
6.92,44,11,4,Medium,2,85,51,76,1,54,37,30,32,24,2,2,1
6.0,58,73,1,Low,0,56,57,51,3,55,31,52,47,5,0,3,1
8.63,55,41,3,Medium,2,65,57,77,0,48,46,32,37,8,3,3,1
8.03,48,49,2,Low,3,91,50,84,2,57,54,26,54,32,3,3,1
7.47,45,23,4,Low,2,99,49,75,1,35,22,32,47,46,2,3,0
8.93,42,39,1,Low,2,81,46,67,3,80,44,31,58,61,0,2,1
7.15,58,26,5,Medium,2,55,56,83,1,26,38,32,58,11,0,3,1
7.44,32,34,3,Low,1,62,21,42,1,47,69,41,43,21,1,3,1
8.16,44,30,1,Low,0,58,30,46,3,44,42,17,31,5,1,2,0
8.2,34,29,1,Medium,1,74,36,50,1,64,20,15,45,2,2,1,1
5.0,38,42,3,Medium,1,47,31,73,3,63,20,58,42,3,1,2,0
8.58,59,27,4,Low,3,67,48,78,3,65,62,48,49,28,1,3,1
7.55,51,30,2,Low,1,67,45,50,4,88,86,53,58,12,0,3,1
7.49,42,41,1,Medium,0,68,50,45,3,35,33,19,28,74,0,2,0
8.65,47,69,2,High,1,43,15,85,3,42,37,48,40,19,1,1,0
7.79,62,46,6,High,3,66,30,80,0,43,54,37,70,56,3,2,1
5.29,35,38,3,High,0,93,38,74,3,42,25,15,57,7,2,2,0
7.96,61,46,4,Medium,0,53,55,81,2,42,20,26,60,81,2,2,1
5.0,29,54,0,Low,1,66,28,54,4,30,40,24,40,24,2,3,0
9.22,67,25,3,Low,0,28,39,43,1,68,51,44,56,56,1,3,0
9.28,81,63,2,Low,0,66,58,52,1,46,71,55,60,36,3,2,1
9.74,75,33,4,Medium,0,65,58,56,0,50,48,39,60,64,3,3,0
8.22,54,10,0,Low,2,64,64,43,2,51,48,29,42,39,1,2,1
7.88,60,51,3,Medium,0,75,59,40,0,50,60,42,38,28,2,1,1
6.75,47,39,2,Medium,1,56,52,63,2,60,59,16,37,6,3,3,1
7.98,57,40,1,Medium,2,83,51,71,2,44,49,15,32,29,0,2,1
7.83,53,40,3,High,3,46,57,72,1,45,47,41,58,25,0,2,1
9.05,62,94,2,Medium,3,87,56,65,0,67,63,50,58,54,2,3,1
6.15,49,35,3,Medium,1,65,20,80,4,55,51,53,57,24,0,2,0
6.64,37,38,2,Low,3,60,67,75,3,65,27,24,55,0,1,2,1
7.2,41,23,2,Medium,0,36,32,46,2,56,27,15,29,37,0,2,0
5.53,26,27,4,High,1,42,34,52,0,44,20,15,44,41,1,2,0
7.48,35,25,3,Low,1,68,26,50,1,59,49,20,27,0,0,2,1
9.11,50,33,3,Medium,0,49,66,80,0,57,42,43,47,66,0,3,1
8.25,61,74,6,High,1,79,43,83,3,52,60,69,64,64,1,3,1
6.68,39,49,2,Medium,0,67,36,66,2,27,37,32,55,10,0,3,0
9.0,70,56,5,High,2,36,25,96,0,70,48,29,50,19,0,3,1
5.08,40,10,3,Low,1,75,47,57,1,42,36,18,49,45,0,3,0
7.64,32,21,0,Low,1,59,32,54,3,62,34,15,20,0,1,2,1
8.7,70,94,1,Medium,0,61,32,41,1,24,39,38,34,28,0,3,1
8.2,68,49,2,Low,0,80,55,30,2,55,66,68,26,14,0,2,1
6.01,34,45,4,Medium,3,36,30,63,1,34,62,55,26,20,3,1,1
6.17,52,63,2,Medium,2,41,35,66,2,63,63,42,54,60,1,3,1
6.88,41,36,6,High,3,67,19,96,3,56,41,36,62,32,0,3,1
9.33,67,39,3,Low,0,31,44,74,1,64,72,41,40,60,0,2,1
5.56,28,10,4,High,0,51,16,59,2,37,50,15,33,9,0,2,0
6.62,28,34,7,Medium,1,79,50,100,1,52,20,49,74,18,0,1,1
6.2,42,22,3,Medium,1,60,33,58,2,34,50,15,34,0,1,3,0
8.78,61,50,3,Medium,0,37,51,78,2,57,61,20,48,34,0,3,1
9.25,60,28,1,Medium,1,65,48,62,3,54,65,75,54,21,1,3,1
8.81,48,34,3,Medium,1,54,41,66,1,86,64,43,45,25,0,3,1
7.79,51,41,2,Low,0,49,55,35,0,71,49,23,23,26,0,2,1
6.65,53,46,4,Medium,0,100,46,68,2,61,74,58,50,25,2,1,1
5.0,39,15,4,Medium,1,72,29,98,4,22,35,42,59,65,3,3,0
